"PS Model","Med","Mediator/Outcome Model","PNIE_0.05_20","PNIE_0.05_40","PNIE_0.05_100","PNIE_0.2_20","PNIE_0.2_40","PNIE_0.2_100","PNIE_0.5_20","PNIE_0.5_40","PNIE_0.5_100"
"FE","FE","FE",0.0908570326701343,0.06979872000492,0.0459727243814985,0.0892661708010083,0.0690083282402089,0.0491572421228628,0.0867934348278677,0.0666987205233658,0.0507132678183482
"RE-Mean","FE","FE",0.0864764164343474,0.0654305805313429,0.0431384100407818,0.0853665738324451,0.0653549314596782,0.0462935643146772,0.084007361927802,0.064224195162579,0.0487346414204405
"RE","FE","FE",0.0864878273470454,0.0653474425523621,0.0431334553105937,0.085365656513776,0.0652441512909655,0.0462937625239386,0.0839690232413802,0.0642193942180774,0.0487261149662951
"SL","FE","FE",0.076038265670374,0.0526537484390822,0.0321419630806267,0.0721530597154963,0.0512240780574723,0.0315879739666474,0.0669994265141246,0.0471433852800577,0.029608725508393
"FE","RE","RE",0.0963031817460292,0.0708982338253542,0.0460471364806194,0.0944247493271892,0.0700481149284088,0.04928843271573,0.0914768408316147,0.0677665544860303,0.0506142146838817
"RE-Mean","RE","RE",0.0947787277642274,0.0672485925134465,0.0433005441131227,0.0925220227251059,0.0668524455898993,0.0464954990645081,0.0896676782164799,0.0655406503746595,0.0486617291756294
"RE","RE","RE",0.0948338741844141,0.0671703569518346,0.0432908202043908,0.0925419611147849,0.066741665812978,0.046494356327792,0.0896575410668227,0.0655341758150378,0.0486528608602219
"SL","RE","RE",0.101885777039418,0.0624525058445222,0.0343761816221819,0.093403812797141,0.0586851670259053,0.0336063687780516,0.0803560043712327,0.0517252660171638,0.0305477019844229
"FE","RE-Mean","RE-Mean",0.0916422389637336,0.0700771717609043,0.045962369458503,0.0897335980789795,0.0691395079644483,0.049157285335136,0.086979731985625,0.0667436693313511,0.0507057750867509
"RE-Mean","RE-Mean","RE-Mean",0.0872414915486264,0.0656963285350362,0.0431226250845266,0.0857538640728864,0.0654596628209778,0.0462940566152144,0.0841728139779678,0.0642626819298245,0.0487253541214186
"RE","RE-Mean","RE-Mean",0.0872522118992085,0.0656166722889396,0.0431152257703271,0.0857534250388971,0.065345489246037,0.0462936852973175,0.0841335440809111,0.0642578770179967,0.0487167887309899
"SL","RE-Mean","RE-Mean",0.0763758752236329,0.0528639611606025,0.0321094426803961,0.0721262945294703,0.0512655622128206,0.0315792619602825,0.0669685364136621,0.0471401507451511,0.0295915834690528
"FE","SL","SL",0.880105250194697,0.84014269484559,0.808227748209839,0.908810827751114,0.863433746978405,0.821904693627349,0.989360235295087,0.937955561369235,0.876096022970424
"RE-Mean","SL","SL",0.979193645951381,0.911183313753189,0.849807544210059,0.993138189313499,0.926964960025237,0.862725769430919,1.04764060588201,0.983833157474582,0.90958855787418
"RE","SL","SL",0.979659066118479,0.911467916702152,0.849847557925002,0.993579668903267,0.927254002439503,0.862789512031602,1.04788314841216,0.984020826475372,0.90969720471389
"SL","SL","SL",1.5607748352858,1.56472942181834,1.55643727061835,1.55497877931283,1.56002135422136,1.55103762831377,1.548176153194,1.55481043381223,1.54407556545123
