"PS Model","Med","Mediator/Outcome Model","PNIE_0.05_20","PNIE_0.05_40","PNIE_0.05_100","PNIE_0.2_20","PNIE_0.2_40","PNIE_0.2_100","PNIE_0.5_20","PNIE_0.5_40","PNIE_0.5_100"
"FE","FE","FE",0.805,0.768,0.74,0.793,0.746,0.677,0.722,0.682,0.581
"RE-Mean","FE","FE",0.841,0.806,0.773,0.808,0.773,0.703,0.74,0.705,0.61
"RE","FE","FE",0.838,0.807,0.772,0.806,0.772,0.703,0.745,0.703,0.609
"SL","FE","FE",0.951,0.952,0.944,0.95,0.943,0.953,0.953,0.948,0.942
"FE","RE","RE",0.932,0.934,0.952,0.925,0.941,0.943,0.91,0.933,0.942
"RE-Mean","RE","RE",0.923,0.93,0.955,0.919,0.94,0.945,0.907,0.934,0.942
"RE","RE","RE",0.924,0.929,0.955,0.919,0.942,0.946,0.909,0.935,0.94
"SL","RE","RE",0.844,0.89,0.942,0.875,0.904,0.941,0.868,0.904,0.937
"FE","RE-Mean","RE-Mean",0.947,0.94,0.958,0.953,0.951,0.946,0.94,0.943,0.942
"RE-Mean","RE-Mean","RE-Mean",0.949,0.941,0.957,0.948,0.951,0.95,0.942,0.941,0.943
"RE","RE-Mean","RE-Mean",0.948,0.94,0.957,0.946,0.953,0.95,0.944,0.943,0.942
"SL","RE-Mean","RE-Mean",0.952,0.954,0.952,0.949,0.95,0.958,0.955,0.943,0.95
"FE","SL","SL",0,0,0,0,0,0,0,0,0
"RE-Mean","SL","SL",0,0,0,0,0,0,0,0,0
"RE","SL","SL",0,0,0,0,0,0,0,0,0
"SL","SL","SL",0,0.001,0.001,0,0,0.002,0.001,0,0.001
