"PS Model","Med","Mediator/Outcome Model","PNIE_0.05_20","PNIE_0.05_40","PNIE_0.05_100","PNIE_0.2_20","PNIE_0.2_40","PNIE_0.2_100","PNIE_0.5_20","PNIE_0.5_40","PNIE_0.5_100"
"FE","FE","FE",-0.000816642045091687,2.73246534110427e-06,0.000445036863298887,-0.000611079801733916,2.74134175521912e-05,-0.000247572190597123,-0.0011022199461963,-0.00066450496053394,0.001266432886883
"RE-Mean","FE","FE",-0.000761375176493218,-9.21494697967429e-05,0.000473583432634372,-0.000615201332831994,8.55793252967363e-05,-0.000153610971079687,-0.000983418497940813,-0.000575685338767618,0.00123624630229924
"RE","FE","FE",-0.000793787916403943,-8.92288349826353e-05,0.000501310533104204,-0.000620895346911454,0.00010296028768142,-0.000143458253248019,-0.0010130959875625,-0.000564518688863314,0.0012422593769017
"SL","FE","FE",-0.000303794451991246,6.5649206780094e-05,0.00086542580065907,-0.000605643341048512,0.000351129721438026,0.000122828151204679,-0.00093819984384802,0.000120973671556612,0.00069622601425734
"FE","RE","RE",-0.0260399005024926,-0.0109555496348752,-0.00343290059628398,-0.0248926678189485,-0.0106076579883918,-0.00399299430621003,-0.0235896827356941,-0.010711844165089,-0.00230454887100306
"RE-Mean","RE","RE",-0.0302731213201199,-0.01266901652853,-0.00381856023364391,-0.0279946515370196,-0.0117506437297983,-0.00422271080079295,-0.0251488686355603,-0.0112619141017662,-0.00251635345843049
"RE","RE","RE",-0.0303450960248084,-0.0126766031442517,-0.00379255898527109,-0.0280295846650557,-0.0117414921713634,-0.0042141010666823,-0.0251928145695939,-0.0112549107834894,-0.00251119327184135
"SL","RE","RE",-0.0491196937913183,-0.0243620815897156,-0.0088971963866824,-0.0431130808705321,-0.020928580845723,-0.00835239141554289,-0.0327909091192033,-0.0158172124544701,-0.00562536650086087
"FE","RE-Mean","RE-Mean",-0.00683396250443891,-0.00313308132188472,-0.000618663162371247,-0.00422019236671123,-0.00169432107060441,-0.00080228084958156,-0.0030648851052838,-0.00165961925750036,0.000914704624051854
"RE-Mean","RE-Mean","RE-Mean",-0.00762679133447997,-0.00379830745746634,-0.000872006304942885,-0.00450957787727191,-0.0018215936610182,-0.000805056454195929,-0.00301952337685507,-0.00160742608893294,0.000863804788826528
"RE","RE-Mean","RE-Mean",-0.00767329626919366,-0.00380568033570272,-0.000845512701375561,-0.0045199928431493,-0.00180746245526586,-0.000795690669559423,-0.00304887041026691,-0.00159677591799323,0.000869600259564063
"SL","RE-Mean","RE-Mean",-0.00674186286347134,-0.00366924709452043,-0.000816077182637542,-0.00347287279994601,-0.00110391850374558,-0.000461109299281781,-0.00199969476209783,-0.000388853295249958,0.000500728457243138
"FE","SL","SL",-0.623982728985529,-0.596008489759446,-0.573872782027265,-0.643995487147072,-0.612125522494783,-0.583147355394025,-0.700385646616237,-0.664169501975829,-0.620714736781987
"RE-Mean","SL","SL",-0.695523906430313,-0.647167938398878,-0.603772470004592,-0.705077493614962,-0.658089036498548,-0.612631596715334,-0.742970700250912,-0.69764993342385,-0.645107142693417
"RE","SL","SL",-0.69586147549938,-0.647377622832344,-0.603799101514505,-0.705401839302847,-0.658304572596523,-0.612675563529938,-0.743148144303091,-0.697792146141363,-0.645182970691542
"SL","SL","SL",-1.10949521143944,-1.11247268333779,-1.10666232118757,-1.10497045410127,-1.10883420336453,-1.10244955421362,-1.09913713338724,-1.10430555419269,-1.09656579125254
