"PS Model","Med","Mediator/Outcome Model","TNDE_0.05_20","TNDE_0.05_40","TNDE_0.05_100","TNDE_0.2_20","TNDE_0.2_40","TNDE_0.2_100","TNDE_0.5_20","TNDE_0.5_40","TNDE_0.5_100"
"FE","FE","FE",0.0763367043373615,0.0589292981345452,0.0420832631634175,0.0764447096737459,0.0592870194607803,0.0424817495029286,0.0728529492902547,0.0581295191692683,0.0441532092132767
"RE-Mean","FE","FE",0.0728327898551754,0.0556879865256972,0.0394175669873154,0.0733303989930149,0.0563230573196769,0.0399190746004365,0.0702352126546011,0.0559281738513559,0.0422463880029879
"RE","FE","FE",0.0728087106584295,0.0556694032951416,0.0394049038752754,0.0733173017605802,0.0563454026806204,0.0399065452506964,0.070228396970933,0.055925577463674,0.0422136945148941
"SL","FE","FE",0.0635189877186825,0.0450666274118661,0.0284602917486465,0.0627617926356145,0.0434942177569833,0.0265921950650324,0.0563874272362124,0.0389747521439726,0.0249094873918384
"FE","RE","RE",0.0853797772543088,0.0612156679674612,0.0423619097447482,0.0850753517950018,0.0616235683049708,0.0427484770560144,0.080521754109335,0.0599514524296031,0.0445087520205616
"RE-Mean","RE","RE",0.0844802616417689,0.0584867281110045,0.0397277823269273,0.083722180782918,0.0590773346485232,0.0402055303854922,0.0789645614413726,0.0579585212779643,0.0426487382768832
"RE","RE","RE",0.0844729524114226,0.0584550268415441,0.039716862634167,0.0837070618914162,0.0590859428924278,0.0401982743942,0.0789636224381561,0.0579556327288797,0.0426141401141464
"SL","RE","RE",0.0885007587078131,0.0526492656928699,0.030496263189882,0.0825879866731351,0.0499973770088821,0.0280673080928952,0.0699241274066543,0.0431505923541304,0.0261521708055592
"FE","RE-Mean","RE-Mean",0.0775672708747713,0.0594198321760723,0.0421642210871556,0.0770641780856457,0.0595131449806286,0.0425110514449396,0.0730302062703683,0.0582263265690767,0.0441725492766886
"RE-Mean","RE-Mean","RE-Mean",0.0739016199855561,0.0560986612511492,0.0394516603475521,0.0738520041426275,0.0565111859711146,0.0399310594151826,0.0703861101089644,0.056015009828314,0.0422626339388877
"RE","RE-Mean","RE-Mean",0.0738748908416333,0.0560736820358166,0.0394398787095438,0.0738410928649007,0.0565319982413284,0.0399192732435744,0.0703826293136913,0.056012627059846,0.0422296643308914
"SL","RE-Mean","RE-Mean",0.063596373884791,0.0450757408071233,0.0284658140057117,0.0628148490496984,0.0434974849615578,0.0265926768853762,0.0563861741952228,0.0389768754270162,0.0249100161001147
"FE","SL","SL",0.872705720811602,0.835885568865278,0.806130283747257,0.900159365176901,0.858864644618145,0.818438294346475,0.978688265344797,0.922578598976672,0.871756861598139
"RE-Mean","SL","SL",0.96275636888248,0.89903891961726,0.842990102415265,0.976013741422863,0.91537787517104,0.85491039893385,1.03058855664461,0.964195593489104,0.902210443204698
"RE","SL","SL",0.963063215926977,0.899155619875114,0.843105449030702,0.97628041655746,0.915525108780309,0.855048113609817,1.03079087547585,0.964387494035005,0.902287100449341
"SL","SL","SL",1.50145284817824,1.50112612874585,1.49675286168901,1.49517383886201,1.49603092833536,1.49179923027043,1.49167934792752,1.49145221783975,1.48804232276809
