"PS Model","Med","Mediator/Outcome Model","TNDE_0.05_20","TNDE_0.05_40","TNDE_0.05_100","TNDE_0.2_20","TNDE_0.2_40","TNDE_0.2_100","TNDE_0.5_20","TNDE_0.5_40","TNDE_0.5_100"
"FE","FE","FE",-0.000487899052071694,0.000420283531226362,-0.000878621354931441,-0.00162429024556587,0.000736309242746147,-0.000810735767408866,-0.000148085420748401,-0.000664103829648321,0.000929458707003228
"RE-Mean","FE","FE",-0.000446429066098042,0.000382166277104412,-0.000687332551137065,-0.00156094820230523,0.000824169995997659,-0.00078415798190612,-0.000225783154282677,-0.000636938662237241,0.000793158306631181
"RE","FE","FE",-0.000411192501847513,0.000363694869355058,-0.000699054700723956,-0.00156453875713103,0.000783465884957035,-0.000790691121980491,-0.00022721208509946,-0.00065032450645619,0.000792149344977178
"SL","FE","FE",-0.000187313301657221,0.00028580380646015,-0.000697186898320101,-0.00110905024622554,0.000287093257696158,-0.000829687985049343,-0.00116675602136995,7.98319598915853e-05,-0.000631983962835259
"FE","RE","RE",-0.0144564177317685,-0.00734325302395666,-0.00426476921550012,-0.0146925618656827,-0.0063775817144287,-0.00389820065365176,-0.0127068891722266,-0.00709850121723687,-0.00175031233300793
"RE-Mean","RE","RE",-0.0131366065434283,-0.00688572707181923,-0.0039383263965036,-0.0139870137859345,-0.00604146207775846,-0.00379720900880209,-0.0128421679124888,-0.00710805503023737,-0.00189688526366194
"RE","RE","RE",-0.0130741391739565,-0.00689732149955402,-0.00394895323063804,-0.0139734354992403,-0.00607762572419857,-0.00380298497656262,-0.0128389173244361,-0.00711958391242073,-0.00189783798586896
"SL","RE","RE",0.00535825939730894,0.00302057635966824,0.00040461405753156,0.00209871557326191,0.00191243191756896,-0.000170049195358124,-0.00228581473186895,-0.000433498299814872,-0.00082304579128134
"FE","RE-Mean","RE-Mean",-0.0030973113140339,-0.00138107587196501,-0.00188846237324281,-0.00264915859096426,0.000141231333359526,-0.00113277589415373,-0.000616477832536266,-0.000822732679408689,0.000852042752096605
"RE-Mean","RE-Mean","RE-Mean",-0.00280335843655688,-0.00130297783719602,-0.0016281274951544,-0.00248590812245886,0.000284702522036051,-0.00107067004940631,-0.000673130912130615,-0.00079023862610228,0.000721759145164702
"RE","RE-Mean","RE-Mean",-0.00276877500018924,-0.00133402036495256,-0.00164071814707489,-0.00248748803082188,0.000238912677549052,-0.00107689388500665,-0.000673756082521959,-0.0008042838496225,0.000720744803134776
"SL","RE-Mean","RE-Mean",0.00130668816797819,0.00113829640227991,-0.000324957159599681,-0.000676373450534951,0.000507503688045752,-0.000745495840917099,-0.00131797035294989,1.00583986537561e-05,-0.000660072411758916
"FE","SL","SL",-0.456205643658953,-0.513392250781013,-0.557817048716634,-0.428919472621612,-0.485675938774275,-0.540093454096228,-0.35886767056311,-0.412305304337795,-0.478078674555566
"RE-Mean","SL","SL",-0.363332286691665,-0.438320356153509,-0.506208895011813,-0.353422950429945,-0.421939391655483,-0.493307908696108,-0.309518813735431,-0.371516632165022,-0.443909054049443
"RE","SL","SL",-0.362606954964769,-0.438140291924189,-0.506204956765212,-0.352794481556076,-0.421876530347,-0.493199647651177,-0.309014637660212,-0.371284571102316,-0.443794094801754
"SL","SL","SL",0.133977316145461,0.134616433934909,0.135465176079425,0.122557382230458,0.126747843669959,0.127964340646876,0.108429588591054,0.111832390304963,0.116362410520158
