"PS Model","Med","Mediator/Outcome Model","PNIE_0.05_20","PNIE_0.05_40","PNIE_0.05_100","PNIE_0.2_20","PNIE_0.2_40","PNIE_0.2_100","PNIE_0.5_20","PNIE_0.5_40","PNIE_0.5_100"
"FE","FE","FE",-0.000526835654627411,0.000734942675025829,-0.00107461260989261,0.000486495478677629,0.00117004339762072,-0.000347461584826014,-0.00236038324032573,0.001710646428287,-0.000353765775848447
"RE-Mean","FE","FE",-0.00044278156194999,0.000827617464967956,-0.000903717421155692,0.000554965902731297,0.0011524726229355,-0.000328363140090437,-0.00233621630316871,0.0014742388937341,-0.000352567392731484
"RE","FE","FE",-0.000486339684872217,0.00087323444408427,-0.000860963191611219,0.000577619543278507,0.00118682379853663,-0.00030518434259108,-0.00233783443319235,0.00144700258409558,-0.000338376140277097
"SL","FE","FE",-0.000732342531830965,0.000848087110935536,0.000452250566851164,-9.56889712759867e-05,1.26104788567005e-06,0.000410253500549462,-0.00146284997740864,-0.000908384256041339,0.000194738818328988
"FE","RE","RE",0.0249482046588934,0.0117699674069915,0.00279572913668935,0.0250836346808263,0.0119071115870537,0.00338943126533353,0.0203408805332994,0.0118164565762753,0.00322131938988934
"RE-Mean","RE","RE",0.0294320863985316,0.0135022067376054,0.00338328199683247,0.0283038235430204,0.0130930459965581,0.00373469272694149,0.0220776203972826,0.0122178327515503,0.0034044995873288
"RE","RE","RE",0.029448848434813,0.0135630643507463,0.00342829787392951,0.0283728656988367,0.0131387891813435,0.00375977649548287,0.0221044732124103,0.0121961471580383,0.00341982529972085
"SL","RE","RE",0.0490921140634992,0.0255314515229663,0.0102958233845523,0.0432016667624964,0.0214429384804742,0.00896530159669373,0.0309382998674603,0.015095685200559,0.00657841996865627
"FE","RE-Mean","RE-Mean",0.00840051578185586,0.00559524099959963,0.000738281053179524,0.00581960506417278,0.00389893555254561,0.000555526031921216,0.000596448014458906,0.00318816864285409,0.000168003618227441
"RE-Mean","RE-Mean","RE-Mean",0.0096024533686252,0.00639417875527548,0.00121805903213801,0.00628877622134816,0.00411341758525796,0.000685265773089361,0.00074245160455999,0.00300745804191749,0.000194685394698579
"RE","RE-Mean","RE-Mean",0.00956681483315847,0.00644109412100158,0.00126178001650756,0.0063146567784389,0.00414811441296159,0.000708614353243986,0.000742785205126495,0.00297973224424397,0.000208940145970393
"SL","RE-Mean","RE-Mean",0.00881840881046148,0.00637226145334302,0.00293211769416724,0.00453774187666456,0.00236788683069089,0.00136361219631498,0.00049186864053552,1.88064256554377e-05,0.000554051392172461
"FE","SL","SL",0.849406303191995,0.726215503346346,0.623128104970285,0.926741479622941,0.794222448635598,0.667658482433477,1.1126064987375,0.977057902379483,0.826289303373486
"RE-Mean","SL","SL",1.08923760226083,0.914631152632244,0.751238762741591,1.12559540455654,0.955447733358883,0.786202198699969,1.2476811253725,1.08609733983277,0.913723733015521
"RE","SL","SL",1.09048284243785,0.91556606473342,0.751625376768681,1.12689406764907,0.956391390316982,0.786607642358088,1.24904087295647,1.08661928744528,0.9140109896134
"SL","SL","SL",2.25378776997583,2.24659263482386,2.25008029578808,2.25120401380538,2.23889993710211,2.24377975901445,2.2482750966684,2.23261276308801,2.23762630031092
