PS Model,Med,Mediator/Outcome Model,PNIE_0.05_20,PNIE_0.05_40,PNIE_0.05_100,PNIE_0.2_20,PNIE_0.2_40,PNIE_0.2_100,PNIE_0.5_20,PNIE_0.5_40,PNIE_0.5_100
FE,FE,FE,-0.002420019493433734,-5.096806440137991e-4,0.0011943957967295304,-0.0014535686103961387,-2.788521467333993e-4,-3.2926774999431085e-4,6.051466256142835e-4,-0.0014695970709937,-8.22552700150414e-5
RE-Mean,FE,FE,-0.0018847538838636657,-4.880596243196367e-4,0.0011327985227596038,-0.0010014784967288248,-2.740927650932701e-4,-2.626639202790715e-4,7.380036211028784e-4,-0.0015096166054684446,-4.150229557775553e-5
RE,FE,FE,-0.0018851400089356929,-4.560335382746139e-4,0.0011466802367963158,-9.749528763193238e-4,-2.667332084028695e-4,-2.60055057641817e-4,7.672033653596255e-4,-0.0014360925074361486,-5.167886096091312e-5
SL,FE,FE,-9.624517437789581e-4,-2.215585359127692e-4,0.0010953228661851888,9.645306039511858e-4,-1.3886678785801632e-4,1.7980946586404478e-4,0.0019286463238317175,-8.684746674958443e-5,-6.283755517721978e-5
FE,RE,RE,-0.0024421563057973605,-4.803374172577257e-4,0.0011896031647988803,-0.0014793592552206913,-2.397108546554616e-4,-3.385377720535043e-4,6.068134412724469e-4,-0.0014406167299912953,-9.183959334457814e-5
RE-Mean,RE,RE,-0.001805484182938244,-4.260510827464037e-4,0.0011231762535395262,-0.0010012535637750064,-2.219011453712394e-4,-2.7496203361587757e-4,7.448592877181692e-4,-0.0014656375162170887,-4.947143309219637e-5
RE,RE,RE,-0.0018297709408251484,-3.9495682834456147e-4,0.0011368824184294635,-9.736179472096262e-4,-2.1721746864078462e-4,-2.7287366399952884e-4,7.784234632912668e-4,-0.0013932178334268297,-5.998637301762866e-5
SL,RE,RE,-0.0010979480294682764,1.1098899512851368e-4,0.0010534165112379146,8.869573451002477e-4,5.200244260983311e-5,1.6990180186704507e-4,0.0018658369627710947,3.357991703034635e-5,-6.041055680428009e-5
FE,RE-Mean,RE-Mean,-0.00148853009077754,4.2907125608060426e-6,0.001409806673343228,-5.899227239235527e-4,2.150097066195844e-4,-1.4061200384518635e-4,0.001258181015469484,-0.001149330275541871,3.283553835009556e-5
RE-Mean,RE-Mean,RE-Mean,-8.304685613799156e-4,3.409330472448069e-5,0.0013506393296098818,-8.910414487195428e-5,2.3445918647646558e-4,-7.15354089986242e-5,0.0014294443472782081,-0.0011673728007699502,7.90660846423652e-5
RE,RE-Mean,RE-Mean,-8.546969721490161e-4,6.397223348764136e-5,0.0013642661477384355,-6.270949046982555e-5,2.3832965011538754e-4,-6.937220082714468e-5,0.001463342555560132,-0.0010947116065423979,6.857925656800212e-5
SL,RE-Mean,RE-Mean,-8.490895999890835e-5,3.4850007169762165e-4,0.0013045048788997704,0.0018065574762735626,3.529135030804209e-4,3.7539846504386354e-4,0.002515935291958149,2.3883623928289133e-4,6.079571758577096e-5
FE,SL,SL,-0.00576256233286121,8.441276479838056e-4,-7.13748318862395e-4,-0.00542101975086573,0.0025503563814988084,-0.0022275569446957855,-0.001983829333494058,0.003589704911213465,-0.0024274014361701512
RE-Mean,SL,SL,-0.0034079657017190845,0.001512617711702191,-3.67611007952906e-4,-0.0026615737183076638,0.003456761048901802,-0.001314635474784609,6.60816988464541e-4,0.005023657998270981,-0.0012453726734310555
RE,SL,SL,-0.0034664904256861417,0.0015273451115964676,-3.6835098296439384e-4,-0.0025857766119516956,0.0034361978757353473,-0.0013618609586416586,6.633446721149294e-4,0.004985963721013897,-0.0013294186146771692
SL,SL,SL,-0.0014328634466499457,0.0037279122291380418,0.0015319113756393499,0.0016550472558489737,0.007087928158001633,0.003278347120655223,0.004280793197793509,0.011695449409203196,0.007276018224333658
