"PS Model","Med","Mediator/Outcome Model","PNDE_0.05_20","PNDE_0.05_40","PNDE_0.05_100","PNDE_0.2_20","PNDE_0.2_40","PNDE_0.2_100","PNDE_0.5_20","PNDE_0.5_40","PNDE_0.5_100"
"FE","FE","FE",0.776,0.667,0.548,0.536,0.423,0.269,0.334,0.228,0.169
"RE-Mean","FE","FE",0.8,0.684,0.551,0.563,0.436,0.273,0.336,0.231,0.164
"RE","FE","FE",0.801,0.682,0.551,0.565,0.438,0.272,0.332,0.229,0.165
"SL","FE","FE",0.811,0.718,0.563,0.587,0.446,0.29,0.344,0.234,0.153
"FE","RE","RE",0.961,0.941,0.949,0.955,0.942,0.942,0.948,0.945,0.944
"RE-Mean","RE","RE",0.962,0.941,0.951,0.958,0.944,0.943,0.95,0.947,0.942
"RE","RE","RE",0.967,0.941,0.948,0.955,0.944,0.941,0.948,0.947,0.942
"SL","RE","RE",0.966,0.934,0.944,0.958,0.942,0.937,0.957,0.947,0.946
"FE","RE-Mean","RE-Mean",0.951,0.952,0.929,0.944,0.948,0.927,0.931,0.932,0.922
"RE-Mean","RE-Mean","RE-Mean",0.952,0.946,0.932,0.945,0.947,0.925,0.927,0.941,0.924
"RE","RE-Mean","RE-Mean",0.953,0.947,0.934,0.944,0.947,0.926,0.928,0.941,0.922
"SL","RE-Mean","RE-Mean",0.95,0.941,0.928,0.942,0.944,0.931,0.932,0.942,0.934
"FE","SL","SL",0.851,0.849,0.78,0.701,0.671,0.563,0.441,0.42,0.353
"RE-Mean","SL","SL",0.047,0.158,0.384,0.161,0.282,0.401,0.228,0.261,0.267
"RE","SL","SL",0.049,0.155,0.382,0.162,0.283,0.397,0.226,0.26,0.262
"SL","SL","SL",0,0,0,0,0,0,0.001,0,0
