"PS Model","Med","Mediator/Outcome Model","PNIE_0.05_20","PNIE_0.05_40","PNIE_0.05_100","PNIE_0.2_20","PNIE_0.2_40","PNIE_0.2_100","PNIE_0.5_20","PNIE_0.5_40","PNIE_0.5_100"
"FE","FE","FE",0.0908570326701342,0.0697987200049198,0.0459727243814986,0.0892661708010083,0.069008328240209,0.0491572421228628,0.0867934348278678,0.0666987205233658,0.0507132678183482
"FE","RE-Mean","FE",0.091623638182175,0.0700733181295934,0.0460624920410104,0.0896603196676338,0.0691259469277371,0.0491912339405411,0.0868658782245744,0.0667467317656115,0.0507452729130253
"FE","RE","FE",0.0917712325846918,0.069944956132681,0.0460087891948879,0.0899666736427264,0.0691427451430983,0.0491845053502957,0.0871746565251227,0.0668008182142409,0.0507661998467736
"FE","SL","FE",0.320687654536864,0.198049212992503,0.106538720967636,0.390321804477137,0.259621484871791,0.147796980509847,0.578464323142032,0.43679119281662,0.29807734147722
"RE-Mean","FE","FE",0.0864764164343475,0.0654305805313428,0.0431384100407815,0.085366573832445,0.0653549314596781,0.0462935643146772,0.0840073619278021,0.064224195162579,0.0487346414204404
"RE-Mean","RE-Mean","FE",0.0871339006232949,0.0656797326349453,0.0432252089175168,0.08568451493558,0.0654587917600133,0.046318775491799,0.0840730439044093,0.0642653560911903,0.0487661193351827
"RE-Mean","RE","FE",0.0879685577475877,0.065679585503296,0.0431907942088438,0.0864405153273787,0.0655688697317411,0.0463238032227007,0.0845334010470397,0.0643447856865351,0.0487945679711763
"RE-Mean","SL","FE",0.538183668641478,0.362304632414733,0.204333143197733,0.572125569077797,0.40359806035729,0.240770668353382,0.698656948278054,0.5349711470563,0.371988574978282
"RE","FE","FE",0.0864878273470452,0.0653474425523621,0.0431334553105937,0.0853656565137761,0.0652441512909655,0.0462937625239387,0.0839690232413802,0.0642193942180774,0.0487261149662951
"RE","RE-Mean","FE",0.0871527655180456,0.0655891366099076,0.0432224340428734,0.085684126513054,0.0653468931058435,0.0463196121114037,0.0840338246474169,0.0642600218719766,0.0487575196978448
"RE","RE","FE",0.0879821960485838,0.0655978143915233,0.0431865540431465,0.0864450628207469,0.0654605192153879,0.0463242959220742,0.084491352887729,0.0643408746797729,0.0487860311367453
"RE","SL","FE",0.539107192013476,0.362774578208746,0.204561143180282,0.573014523613094,0.404150465600383,0.241061385434691,0.699296048893816,0.53531937600404,0.372251485186363
"SL","FE","FE",0.076038265670374,0.0526537484390822,0.0321419630806267,0.0721530597154964,0.0512240780574723,0.0315879739666476,0.0669994265141245,0.0471433852800577,0.0296087255083931
"SL","RE-Mean","FE",0.076316687131823,0.052741770606016,0.0322387595942141,0.0721746816350661,0.0512259618964811,0.0316088259240138,0.0669956757403097,0.0471210575453891,0.0296198206437785
"SL","RE","FE",0.0882728656470819,0.0573671199414526,0.0336982867836549,0.0809246859774669,0.0547797741524125,0.0325010915173862,0.0710745727738609,0.0488503248108438,0.0301508161352142
"SL","SL","FE",1.71665015567414,1.71836589036272,1.70624571991558,1.70806996743943,1.70989484861656,1.69758831668593,1.69976868754243,1.70185066260224,1.68960925448946
"FE","FE","RE",0.0952853343895131,0.0712815279211375,0.0464034374754165,0.0934482296403728,0.0703865102839702,0.0494542984563781,0.0904265808338211,0.0677877704883204,0.0511256473057963
"FE","RE-Mean","RE",0.0976485979351764,0.0720737532490085,0.0465817268754222,0.0948813765220703,0.0708215526935349,0.0495412736238534,0.0910797482817321,0.0680200704279443,0.0511910407652754
"FE","RE","RE",0.0987834340827243,0.0719202704354199,0.0464932953469255,0.0966419015758832,0.0710320448519061,0.0495412190932193,0.092984976733343,0.0683869147079374,0.0512443847702311
"FE","SL","RE",0.35000800176767,0.21004646843387,0.109960735424419,0.420362920885335,0.272263927095604,0.151705645920176,0.610978014377952,0.450679876601644,0.302796030995626
"RE-Mean","FE","RE",0.0915879065261225,0.0670936916607561,0.0436189076527572,0.0901058567346582,0.0669195835490751,0.0466279790015027,0.0880831628954926,0.0654374774067773,0.0491730912857621
"RE-Mean","RE-Mean","RE",0.094267900561738,0.0680457715472391,0.0438439741783404,0.0916543924425103,0.0674141865526011,0.0467238037642667,0.0887936210434643,0.0656840481096547,0.0492425018998904
"RE-Mean","RE","RE",0.0972039107904417,0.0682200265972686,0.0437817716695164,0.0947346037153311,0.0679070946350638,0.0467557627532196,0.0912907353201226,0.066174647574203,0.0493152427806229
"RE-Mean","SL","RE",0.575882476388978,0.378390974608643,0.20983747163456,0.608672946964655,0.419207159857786,0.246090311411932,0.735314798227893,0.550566470605917,0.377308724604443
"RE","FE","RE",0.0915873112872931,0.0670139450931797,0.0436185686811904,0.0901042751825958,0.0668154775672568,0.0466297062867326,0.0880370488682632,0.0654357746436505,0.0491657107176579
"RE","RE-Mean","RE",0.0942793396916145,0.0679616756083946,0.0438460681915749,0.0916553732570779,0.0673104457351706,0.0467262644056744,0.0887474933578983,0.0656820487049457,0.0492350902847984
"RE","RE","RE",0.0972203429016045,0.0681451380350095,0.0437823888792402,0.0947486832879152,0.0678083999885797,0.0467579552276913,0.0912476177940866,0.0661746214246873,0.0493079464701534
"RE","SL","RE",0.576842310958527,0.378869901125051,0.210067032929512,0.609592892688225,0.41976898297123,0.246382448558531,0.735979198377474,0.5509224457118,0.377573486421927
"SL","FE","RE",0.0809547050295713,0.0544924640131411,0.032803283820171,0.0764798372498061,0.0529681754911609,0.0320370773873222,0.0703476611516383,0.0485534312932517,0.0300950350441042
"SL","RE-Mean","RE",0.0831081239204857,0.0553750437778898,0.0331344634151197,0.0773801996134011,0.0532842786220393,0.0321404365535277,0.0706387357872245,0.0486282220731545,0.030129180823779
"SL","RE","RE",0.104408110322213,0.0636410390541809,0.035586525274322,0.0948402339141209,0.0601467462153553,0.033952491322428,0.0809703993025559,0.0526651298067196,0.031265782249385
"SL","SL","RE",1.77305268237984,1.74607586418585,1.71720213252994,1.76049096893163,1.7356572519923,1.70778447819806,1.74582468959233,1.72449527548025,1.69857865473863
"FE","FE","RE-Mean",0.0912237573510734,0.0699730368855249,0.0460604245777934,0.0894252865544139,0.0690546303225375,0.0491718640324068,0.086844598982549,0.0666788211239027,0.0507233882051971
