"PS Model","Med","Mediator/Outcome Model","TNDE_0.05_20","TNDE_0.05_40","TNDE_0.05_100","TNDE_0.2_20","TNDE_0.2_40","TNDE_0.2_100","TNDE_0.5_20","TNDE_0.5_40","TNDE_0.5_100"
"FE","FE","FE",0.092254009640927,0.0733303223457752,0.0499500183940787,0.0924431803870463,0.0732826713815514,0.0508821572881587,0.0867317751428034,0.0690891022719924,0.0539386446348554
"FE","RE-Mean","FE",0.092254009640927,0.0733303223457752,0.0499500183940787,0.0924431803870463,0.0732826713815514,0.0508821572881587,0.0867317751428034,0.0690891022719924,0.0539386446348554
"FE","RE","FE",0.092254009640927,0.0733303223457752,0.0499500183940787,0.0924431803870463,0.0732826713815514,0.0508821572881587,0.0867317751428034,0.0690891022719924,0.0539386446348554
"FE","SL","FE",0.092254009640927,0.0733303223457752,0.0499500183940787,0.0924431803870463,0.0732826713815514,0.0508821572881587,0.0867317751428034,0.0690891022719924,0.0539386446348554
"RE-Mean","FE","FE",0.0881378748727262,0.069010058184849,0.0469928451721462,0.0886919738685594,0.0693297156302904,0.0482340765738889,0.0839314364100888,0.066580176137211,0.0517594499804495
"RE-Mean","RE-Mean","FE",0.0881378748727262,0.069010058184849,0.0469928451721462,0.0886919738685594,0.0693297156302904,0.0482340765738889,0.0839314364100888,0.066580176137211,0.0517594499804495
"RE-Mean","RE","FE",0.0881378748727262,0.069010058184849,0.0469928451721462,0.0886919738685594,0.0693297156302904,0.0482340765738889,0.0839314364100888,0.066580176137211,0.0517594499804495
"RE-Mean","SL","FE",0.0881378748727262,0.069010058184849,0.0469928451721462,0.0886919738685594,0.0693297156302904,0.0482340765738889,0.0839314364100888,0.066580176137211,0.0517594499804495
"RE","FE","FE",0.0881618648856452,0.0689627567975713,0.0469679869401836,0.0887456904426987,0.0692700504812453,0.0481842951359224,0.0839313053705044,0.066574268792969,0.051734051978463
"RE","RE-Mean","FE",0.0881618648856452,0.0689627567975713,0.0469679869401836,0.0887456904426987,0.0692700504812453,0.0481842951359224,0.0839313053705044,0.066574268792969,0.051734051978463
"RE","RE","FE",0.0881618648856452,0.0689627567975713,0.0469679869401836,0.0887456904426987,0.0692700504812453,0.0481842951359224,0.0839313053705044,0.066574268792969,0.051734051978463
"RE","SL","FE",0.0881618648856452,0.0689627567975713,0.0469679869401836,0.0887456904426987,0.0692700504812453,0.0481842951359224,0.0839313053705044,0.066574268792969,0.051734051978463
"SL","FE","FE",0.0779355235548445,0.0540593502421689,0.0354619503986095,0.0749383179595288,0.0523318458135947,0.0342362974879274,0.0673085273978908,0.0479551114445875,0.0320721522628372
"SL","RE-Mean","FE",0.0779355235548445,0.0540593502421689,0.0354619503986095,0.0749383179595288,0.0523318458135947,0.0342362974879274,0.0673085273978908,0.0479551114445875,0.0320721522628372
"SL","RE","FE",0.0779355235548445,0.0540593502421689,0.0354619503986095,0.0749383179595288,0.0523318458135947,0.0342362974879274,0.0673085273978908,0.0479551114445875,0.0320721522628372
"SL","SL","FE",0.0779355235548445,0.0540593502421689,0.0354619503986095,0.0749383179595288,0.0523318458135947,0.0342362974879274,0.0673085273978908,0.0479551114445875,0.0320721522628372
"FE","FE","RE",0.0943468702025095,0.073986233814694,0.050247890886537,0.0947248211950793,0.0737516641822992,0.0511379285074987,0.0886491206577783,0.0697787626226674,0.0539601661701393
"FE","RE-Mean","RE",0.0943468702025095,0.073986233814694,0.050247890886537,0.0947248211950793,0.0737516641822992,0.0511379285074987,0.0886491206577783,0.0697787626226674,0.0539601661701393
"FE","RE","RE",0.0943468702025095,0.073986233814694,0.050247890886537,0.0947248211950793,0.0737516641822992,0.0511379285074987,0.0886491206577783,0.0697787626226674,0.0539601661701393
"FE","SL","RE",0.0943468702025095,0.073986233814694,0.050247890886537,0.0947248211950793,0.0737516641822992,0.0511379285074987,0.0886491206577783,0.0697787626226674,0.0539601661701393
"RE-Mean","FE","RE",0.0899545449467828,0.06962458654967,0.0472649134229566,0.0908755784596953,0.0697661061823244,0.0484895236259597,0.0859184767150733,0.0672937765963563,0.0517938532928302
"RE-Mean","RE-Mean","RE",0.0899545449467828,0.06962458654967,0.0472649134229566,0.0908755784596953,0.0697661061823244,0.0484895236259597,0.0859184767150733,0.0672937765963563,0.0517938532928302
