"PS Model","Med","Mediator/Outcome Model","TNDE_0.05_20","TNDE_0.05_40","TNDE_0.05_100","TNDE_0.2_20","TNDE_0.2_40","TNDE_0.2_100","TNDE_0.5_20","TNDE_0.5_40","TNDE_0.5_100"
"FE","FE","FE",0.00275103810506394,-0.00122798587757023,-0.000996754544926093,0.00158203575059068,-0.00154109288687476,-0.000844040232513499,0.0012772530109606,-0.000407817057928472,-0.000165093234654745
"RE-Mean","FE","FE",0.00240087532935784,-0.00123885718425143,-0.000914712365736037,0.00136309832970438,-0.00155192267925797,-0.000787563906005428,0.00113752855436866,-0.000496446999771472,-0.000251662736697411
"RE","FE","FE",0.00239236992153202,-0.00125612059999269,-0.000914001523739771,0.00131665984457308,-0.0015679447010486,-0.000777376404269559,0.00111922046709845,-0.00051198933636365,-0.000256414725841481
"SL","FE","FE",0.00200430430825782,-0.00145067327591097,-0.000635622951679626,0.00106551221491946,-0.00144413143593469,-0.000230445072931795,0.0011939570906323,-0.00112999847812767,-0.000217857470150795
"FE","RE","RE",-0.0106149624025632,-0.00874573680599111,-0.00420393482669823,-0.0082581639214655,-0.00707490795986554,-0.00324322889351292,-0.0053607918339601,-0.00395424257946431,-0.00170924614461365
"RE-Mean","RE","RE",-0.00684913857766167,-0.00733937107958016,-0.00383975123509639,-0.00681673785401893,-0.00647765889767138,-0.00305030482468116,-0.00534879169553937,-0.00398301160617254,-0.00177806306798256
"RE","RE","RE",-0.00682746099576914,-0.00734667985341997,-0.00383690605540854,-0.0068509404699566,-0.00648943973533411,-0.00303904748781181,-0.00536500526561501,-0.00399775175789763,-0.00178250028602767
"SL","RE","RE",0.00677956239069322,0.00107511476814293,0.00038660384820921,0.0034749890212955,-0.000147835828376408,0.000277130132940506,0.00077287376573465,-0.00127746665210871,-0.000305692908411981
"FE","RE-Mean","RE-Mean",-0.00144677767313628,-0.00394695627461072,-0.00231830388514709,-0.000253969980622659,-0.00257256868644984,-0.0013026441319004,0.00062299362252527,-0.00072064279138484,-0.000304485290991252
"RE-Mean","RE-Mean","RE-Mean",-0.000744443149184981,-0.00354868420617205,-0.00213619090108186,-0.000191407592629034,-0.00248590159522577,-0.00121846763728206,0.000512695789916418,-0.000800536763991389,-0.000386472545595429
"RE","RE-Mean","RE-Mean",-0.00073963931281884,-0.00355409579162669,-0.00213415108428494,-0.000240764747412081,-0.00249927530575067,-0.00120791054914082,0.000491955709214675,-0.000815941400299169,-0.000391174797884419
"SL","RE-Mean","RE-Mean",0.00343834475457827,-0.000648541915530765,-0.000264689887634284,0.00146599145209958,-0.00124615787286242,-0.000149751284422184,0.00111305524569838,-0.00116827076958537,-0.000233880462004454
"FE","SL","SL",-0.213254537826515,-0.228121854636361,-0.229349685487802,-0.203848363822193,-0.22269554467921,-0.228630538754362,-0.17347449400366,-0.195621315517119,-0.214632157198081
"RE-Mean","SL","SL",-0.125310282962206,-0.169617725904275,-0.200705127794213,-0.139765189411736,-0.176908546685897,-0.203633487713073,-0.137140074523963,-0.166068649499877,-0.194330158580468
"RE","SL","SL",-0.125231916975653,-0.169559987140529,-0.200674089567759,-0.139772211250094,-0.176863742931118,-0.203576908990668,-0.137233114937033,-0.16607006752167,-0.194286379321684
"SL","SL","SL",0.0680183164947019,0.0672337037872255,0.0668560901616386,0.0602310399354262,0.0618336083006013,0.0608265491608082,0.0510966200081895,0.054451597486209,0.0509267861139404
