"PS Model","Med","Mediator/Outcome Model","TNDE_0.05_20","TNDE_0.05_40","TNDE_0.05_100","TNDE_0.2_20","TNDE_0.2_40","TNDE_0.2_100","TNDE_0.5_20","TNDE_0.5_40","TNDE_0.5_100"
"FE","FE","FE",-0.00112055223140384,-0.00157379475373864,-0.000406678667870697,-0.000384708262303968,-0.00044964202827813,-0.000423989958914572,-0.000926028512701182,-0.000989779402752577,-0.000318613297279446
"RE-Mean","FE","FE",-0.000816904213182812,-0.0012623364653519,-0.000438276873725107,-0.000158481126619203,-0.00019197768884327,-0.000475488235348265,-0.000910559142114353,-0.00107453847932593,-0.000314759597172642
"RE","FE","FE",-0.000768273352658722,-0.00124814282698948,-0.000442430841358643,-0.000104961968195316,-0.000166433308887437,-0.000476207018579644,-0.000876388325029231,-0.00105421877616896,-0.000305226588043328
"SL","FE","FE",-0.000515698984602686,-0.00084621135230456,-0.000550729003161554,0.000179393327860877,0.000392950191432817,-0.000973819125367759,-0.00098746266782157,-0.000146639969293094,-0.000561133026158789
"FE","RE","RE",-0.0143713232117385,-0.00909982524582365,-0.00361444724070503,-0.0101201791711752,-0.00598179212537875,-0.00281590475925753,-0.00752503554399231,-0.00454426023865306,-0.00183984768608625
"RE-Mean","RE","RE",-0.00995731958469637,-0.0073593821655058,-0.0033643255689092,-0.00826203521587754,-0.00511192206788535,-0.00273249715309687,-0.00737185618720082,-0.0045719307737504,-0.00181797101060688
"RE","RE","RE",-0.00984861091550104,-0.00732759449380016,-0.00336581558831728,-0.00817733370169471,-0.00507821262882646,-0.00273185177190227,-0.00732791392602639,-0.00454948816118383,-0.00180815895229114
"SL","RE","RE",0.00436614503265043,0.001688521890431,0.000481960529809644,0.00262000761301096,0.00168077681923107,-0.000444586695034666,-0.00140503351164301,-0.000329415201575367,-0.00062195943122878
"FE","RE-Mean","RE-Mean",-0.00519737034068968,-0.00424060533976878,-0.00171751780374307,-0.00209090555893277,-0.0014581144861181,-0.000876121580656641,-0.00155451068807744,-0.00129026293314738,-0.00044824013961986
"RE-Mean","RE-Mean","RE-Mean",-0.00388544497237742,-0.00350592675300421,-0.00165039177212245,-0.00162520677656752,-0.00109657551681552,-0.000900797936695508,-0.00152141122555716,-0.00136423984215572,-0.000439737568297294
"RE","RE-Mean","RE-Mean",-0.00382119429424987,-0.00350024916556879,-0.00165502266841377,-0.00156110457700986,-0.00107264320863831,-0.000901486426745257,-0.00148246274608621,-0.00134330653062009,-0.000430239280785227
"SL","RE-Mean","RE-Mean",0.000876684981288234,-1.70108884164355e-05,-0.000184219295621846,0.000592057394265488,0.000591126615975046,-0.000892095035825213,-0.00106548314185406,-0.000190511455965603,-0.00057525940652714
"FE","SL","SL",-0.21663635243423,-0.228036249959817,-0.228354894175458,-0.203199587143266,-0.219569352955909,-0.226728052343091,-0.173878183313539,-0.194695977695149,-0.21084761672387
"RE-Mean","SL","SL",-0.127575539071054,-0.168448441806823,-0.200173657933088,-0.139651579831153,-0.173670925862915,-0.202293546148115,-0.13786536620614,-0.165948314763469,-0.190580679127654
"RE","SL","SL",-0.127099695214463,-0.168264104964244,-0.200151592585358,-0.139150888289094,-0.173496539175197,-0.202243934209149,-0.137463224197068,-0.165845691997217,-0.190533161889531
"SL","SL","SL",0.0675182347108652,0.0675533678219606,0.0679786595984566,0.0602890455949647,0.0621585386759427,0.0626255899689845,0.0497687473427855,0.0508840737337772,0.0549798682776381
