"PS Model","Med","Mediator/Outcome Model","TNDE_0.05_20","TNDE_0.05_40","TNDE_0.05_100","TNDE_0.2_20","TNDE_0.2_40","TNDE_0.2_100","TNDE_0.5_20","TNDE_0.5_40","TNDE_0.5_100"
"FE","FE","FE",0.0656958583304006,0.0461925239256463,0.0277301065556792,0.0663479078544936,0.0491461568997501,0.0309745686860522,0.063908076127409,0.0516923180520139,0.0367214370772252
"RE-Mean","FE","FE",0.0623139009598557,0.0442249055783871,0.0271205640691072,0.0624883877048145,0.0463848862152122,0.0296398228378972,0.0610694738583011,0.0490101538262321,0.0347316871270157
"RE","FE","FE",0.06230474421596,0.044214159429604,0.0271220607353033,0.0624400201677835,0.0463769757058211,0.0296398913546887,0.0610260050307316,0.049002555650759,0.0347139801587576
"SL","FE","FE",0.0590551519682059,0.0410917977205218,0.0251909829510698,0.0565407218794532,0.0404745716056994,0.0248989808477902,0.0518690095832633,0.0364715178877144,0.02273152946588
"FE","RE","RE",0.0670490615914707,0.0476302817649094,0.028253471527193,0.0671231795245845,0.0499714358170827,0.03123253741692,0.063963707660293,0.0519165360434468,0.0367666538135585
"RE-Mean","RE","RE",0.0627189218421794,0.0452600143723136,0.0275635038757511,0.0628833632801181,0.0470790551163362,0.0298754534770383,0.0610952293666178,0.0492340776681527,0.034782408741883
"RE","RE","RE",0.062710011903511,0.0452510412553848,0.0275644089715671,0.0628467001269741,0.0470730893555771,0.0298740157110666,0.0610559600439814,0.0492289599799402,0.0347651263245577
"SL","RE","RE",0.0594500190398824,0.0410408704432338,0.025158349972406,0.0562806191028587,0.0403335787682186,0.0248985873537218,0.0512868842518698,0.0363999817441567,0.0227097090551425
"FE","RE-Mean","RE-Mean",0.0658136484286573,0.0465551819976376,0.0278742215947499,0.0664428617645821,0.0492705187510525,0.0309966352695887,0.0639900215199549,0.0517691676483222,0.0367314518125791
"RE-Mean","RE-Mean","RE-Mean",0.0622771006281282,0.0444955947035356,0.0272408205893479,0.0624867637040255,0.0464735493118981,0.0296564997437747,0.0611165599013341,0.0490737525684655,0.0347377582663645
"RE","RE-Mean","RE-Mean",0.0622937790192443,0.0444900304773339,0.0272444837739699,0.0624480601148267,0.0464696834939133,0.0296572114828794,0.0610742072903638,0.0490685115764871,0.0347201208301486
"SL","RE-Mean","RE-Mean",0.059167387664897,0.0410722847979374,0.0251801696002186,0.0565394521709567,0.0404650012033578,0.0248985176323733,0.0518595267876012,0.0364741902457506,0.0227305709345415
"FE","SL","SL",0.301278067036681,0.314617902076259,0.313368853384975,0.292447317008686,0.310034829872722,0.314520928518378,0.267903697629754,0.287339848162069,0.305397843947082
"RE-Mean","SL","SL",0.184443931105398,0.236025024462576,0.274673430643936,0.205512752598861,0.247801824200202,0.280563728343839,0.217363672161835,0.246602107252186,0.277136884561828
"RE","SL","SL",0.184334343734934,0.235939101888361,0.274627233250277,0.205485568874397,0.247728399522634,0.280485053559208,0.217477696547979,0.246650214178295,0.277053997176135
"SL","SL","SL",0.114840474547908,0.105400060334545,0.0983551467909526,0.118577369824263,0.11401221571038,0.107331259318995,0.154500828214936,0.157847550683936,0.147153803453906
