"PS Model","Med","Mediator/Outcome Model","TNDE_0.05_20","TNDE_0.05_40","TNDE_0.05_100","TNDE_0.2_20","TNDE_0.2_40","TNDE_0.2_100","TNDE_0.5_20","TNDE_0.5_40","TNDE_0.5_100"
"FE","FE","FE",0.0743943455771672,0.0547265185042851,0.0355471228262783,0.0749812146848676,0.0579375689694007,0.0371215427047764,0.0792064282209733,0.0629259936943849,0.044455056655081
"RE-Mean","FE","FE",0.0714090408716445,0.052118409671199,0.0348494354012381,0.0716728287453764,0.0548820108411626,0.0357341313049758,0.075853654627565,0.0597859158081991,0.0421855907722807
"RE","FE","FE",0.0713846509531643,0.052102528402705,0.0348508380341954,0.0716614549709709,0.0548621969117784,0.0357268739760708,0.0758980028297742,0.0597716121217183,0.0421752394660676
"SL","FE","FE",0.0691070493099984,0.0480692919343323,0.0324334211059199,0.0672243877430068,0.048023067037007,0.0314442545976183,0.0636820272411929,0.0451446532789979,0.0290744058849393
"FE","RE","RE",0.0769613146699343,0.056008056952256,0.0358704699918335,0.0764380365812565,0.0585068630246889,0.0373033840715358,0.0799664819954827,0.0631304809369827,0.0444788124912373
"RE-Mean","RE","RE",0.07270122371342,0.0529942795301673,0.0351375366414327,0.0726597084334251,0.0553110919922596,0.0359094503600642,0.0765606503118556,0.0599962446681247,0.0422035428478695
"RE","RE","RE",0.0726439043052926,0.0529696667472253,0.0351391437126794,0.0726236743605316,0.0552850150805919,0.0359019488079163,0.0765956064883344,0.059979443863682,0.0421930074653517
"SL","RE","RE",0.0691963115604527,0.0480984632712386,0.0324124787520687,0.0672000977331064,0.0480279334258412,0.0313871592048537,0.0636126196473855,0.0450380070210482,0.029010820264184
"FE","RE-Mean","RE-Mean",0.0748851379807479,0.0550415028825665,0.0356474595035559,0.0752601557386666,0.0580147430919736,0.0371610330001975,0.079381249075717,0.0629812177669306,0.0444668311608121
"RE-Mean","RE-Mean","RE-Mean",0.0716599924171613,0.0523278111444412,0.0349402241172164,0.0718125820297855,0.0549200861550235,0.0357693075280619,0.0759866482099294,0.0598311159527642,0.0421932723031482
"RE","RE-Mean","RE-Mean",0.0716265295923533,0.0523069501222996,0.0349396593470824,0.0718026237430784,0.0549009986185322,0.0357617496883315,0.0760314208530432,0.0598184706828366,0.0421828656660081
"SL","RE-Mean","RE-Mean",0.0691162900354179,0.0480474801603347,0.0324362467513523,0.0672144671204848,0.0480123417381371,0.0314452535417971,0.0636779552654962,0.0451411408809636,0.0290761165667167
"FE","SL","SL",0.310421700852388,0.317744223991953,0.314309775332975,0.297131967614085,0.311063769143956,0.314813794977039,0.281213070841072,0.295322196126426,0.307512984516352
"RE-Mean","SL","SL",0.193101201786469,0.237490321962915,0.276297037025855,0.212342177484509,0.248527259824171,0.281439693097364,0.231742179090727,0.255059318999901,0.278519467188783
"RE","SL","SL",0.192421012132436,0.237242921059512,0.276272077303373,0.211591064785522,0.248276562381742,0.281381071031548,0.231468682864053,0.254959987834919,0.278518993518634
"SL","SL","SL",0.123381346413772,0.111865824879979,0.104034259541052,0.135252609896594,0.127159155869314,0.120322934483628,0.187076966340769,0.179682963286933,0.179296230951962
