"PS Model","Med","Mediator/Outcome Model","PNIE_0.05_20","PNIE_0.05_40","PNIE_0.05_100","PNIE_0.2_20","PNIE_0.2_40","PNIE_0.2_100","PNIE_0.5_20","PNIE_0.5_40","PNIE_0.5_100"
"FE","FE","FE",-0.00162642835556648,0.000253225956627245,0.000327363375148604,-0.00209214415841807,-0.000875297487200499,0.000666053560908875,-0.00132182355152199,0.000886933456483829,0.000844000598517969
"RE-Mean","FE","FE",-0.00151415938549926,0.00043655566223455,0.000414682481896023,-0.00174624661919565,-0.000509376950843632,0.000774474013229831,-0.00129158677452801,0.00101066458022792,0.00064729518296569
"RE","FE","FE",-0.00148330649983686,0.000451223829616376,0.00041708644796512,-0.00174164840746294,-0.000492050346926898,0.000773689926429233,-0.0012507741229153,0.000968419851673508,0.000637035574170497
"SL","FE","FE",-0.00105064719911896,0.000794041398767487,0.000579344002055837,-0.00128357749581054,-2.39181622360141e-05,0.000965021159486712,-0.000892964967926235,0.000634930628531816,0.000242363264653545
"FE","RE","RE",0.0143800571672665,0.00808038371050901,0.00349081158936682,0.0112107140809017,0.0053756688778599,0.00308429269180266,0.00915589628582913,0.00562878177332427,0.00258561395180323
"RE-Mean","RE","RE",0.0223252401297884,0.0108376327926485,0.00406445639875996,0.0154940892454687,0.00709934265602463,0.00347232506677408,0.0104994580707323,0.00624700562471547,0.00251595107977587
"RE","RE","RE",0.0224570741405792,0.0108790484860561,0.00407049649736835,0.0155533485118433,0.00713026671352956,0.00347347872027082,0.0105581353363822,0.00620862714977322,0.00250646593365111
"SL","RE","RE",0.0391985624628628,0.0218596861960028,0.00925080053157079,0.0273158079846292,0.0146598108494533,0.00693775157128851,0.0159335256769044,0.00909652370136094,0.00363029533544479
"FE","RE-Mean","RE-Mean",0.00324886958848292,0.00309488578116368,0.00164578734629672,0.000359062895707751,0.000369531379633248,0.00114930107392786,1.70148931033509e-05,0.00149377995942501,0.0010588720790119
"RE-Mean","RE-Mean","RE-Mean",0.00509952077762765,0.00400106051943028,0.0018953944547655,0.00123036829863188,0.00095630967567617,0.00131226512910398,0.000154042662297904,0.00166967571523191,0.000881719145975568
"RE","RE-Mean","RE-Mean",0.00514754664439954,0.00401401300712467,0.00189778176682087,0.00124700514962006,0.000974314902420392,0.00131153240306348,0.000197738444871032,0.00162679748397498,0.000871505235240599
"SL","RE-Mean","RE-Mean",0.00859993457269037,0.00671977531543577,0.00337223351967397,0.00270597287520635,0.0020613710177646,0.00182873218918189,0.00051067079922662,0.00130318920143924,0.000507354299551954
"FE","SL","SL",0.22920910186917,0.221846422530369,0.220341176341266,0.242758278692232,0.228261730573746,0.221588384072835,0.291592045116061,0.260513374469242,0.2374311575669
"RE-Mean","SL","SL",0.344301971340257,0.293873353527077,0.254027648722812,0.328266409803504,0.285670651709837,0.251239387207356,0.340087491779684,0.299615695725082,0.263486515227376
"RE","SL","SL",0.344744575058108,0.294117651956751,0.254077617898572,0.328792717747834,0.285899477462591,0.251293251782267,0.340476582977741,0.299693384758362,0.263581624688791
"SL","SL","SL",0.612005458839452,0.610057163313378,0.609939452073132,0.606171139244259,0.60347311237,0.60371439330708,0.600362862563005,0.598327411466867,0.594773960029116
