"PS Model","Med","Mediator/Outcome Model","PNIE_0.05_20","PNIE_0.05_40","PNIE_0.05_100","PNIE_0.2_20","PNIE_0.2_40","PNIE_0.2_100","PNIE_0.5_20","PNIE_0.5_40","PNIE_0.5_100"
"FE","FE","FE",0.87,0.874,0.883,0.843,0.825,0.83,0.761,0.733,0.657
"RE-Mean","FE","FE",0.891,0.886,0.886,0.861,0.845,0.85,0.799,0.76,0.697
"RE","FE","FE",0.891,0.884,0.884,0.864,0.846,0.851,0.8,0.757,0.697
"SL","FE","FE",0.944,0.942,0.937,0.938,0.928,0.946,0.932,0.942,0.949
"FE","RE","RE",0.942,0.943,0.941,0.94,0.943,0.954,0.946,0.95,0.942
"RE-Mean","RE","RE",0.931,0.944,0.942,0.933,0.94,0.95,0.941,0.953,0.939
"RE","RE","RE",0.932,0.942,0.942,0.934,0.942,0.95,0.943,0.953,0.939
"SL","RE","RE",0.881,0.896,0.931,0.906,0.913,0.948,0.933,0.937,0.947
"FE","RE-Mean","RE-Mean",0.947,0.951,0.949,0.942,0.949,0.956,0.95,0.946,0.947
"RE-Mean","RE-Mean","RE-Mean",0.947,0.947,0.951,0.943,0.949,0.954,0.951,0.946,0.942
"RE","RE-Mean","RE-Mean",0.948,0.947,0.951,0.944,0.947,0.954,0.949,0.948,0.94
"SL","RE-Mean","RE-Mean",0.957,0.951,0.948,0.95,0.941,0.959,0.948,0.95,0.955
"FE","SL","SL",0.042,0.002,0,0.051,0.004,0,0.041,0.018,0.006
"RE-Mean","SL","SL",0,0,0,0.002,0,0,0.011,0.002,0
"RE","SL","SL",0,0,0,0.002,0,0,0.01,0.002,0
"SL","SL","SL",0,0,0,0,0,0,0.001,0,0
