"PS Model","Med","Mediator/Outcome Model","PNIE_0.05_20","PNIE_0.05_40","PNIE_0.05_100","PNIE_0.2_20","PNIE_0.2_40","PNIE_0.2_100","PNIE_0.5_20","PNIE_0.5_40","PNIE_0.5_100"
"FE","FE","FE",0.0763915265094866,0.0541089190994467,0.0338642085959882,0.0768947298588005,0.0556652340102559,0.0351590411744473,0.0755346343868093,0.0578700269564599,0.04138199444
"RE-Mean","FE","FE",0.0722501466349545,0.0522899221105603,0.0331260629380187,0.0728955377388325,0.0532233309636866,0.0339184895994682,0.0724710529200604,0.0551986825408485,0.0393072853176434
"RE","FE","FE",0.0722141544858317,0.0522736492436776,0.033125434363815,0.0728408543547933,0.0531926365873265,0.0339133544169452,0.0724249749341231,0.0552102466312685,0.039294105332083
"SL","FE","FE",0.0683521452786942,0.0496279306980476,0.0303046360246949,0.0669368015902504,0.0482266878254917,0.0287856205406632,0.0617770112531077,0.0429283544960061,0.0266196317304885
"FE","RE","RE",0.0800102213018299,0.0557963900130142,0.034377660221011,0.0791630223520573,0.0567131309604277,0.035398474435575,0.0767390175666499,0.0583446467698231,0.0414613925528556
"RE-Mean","RE","RE",0.0798664962704927,0.0549820625464704,0.0337602674935074,0.0767330192012188,0.0546795667077223,0.0342008422550202,0.0740687769407957,0.0557672775150007,0.0394160453536614
"RE","RE","RE",0.0798434697636036,0.0549743170351654,0.0337623330747831,0.0766906613347274,0.0546501197741344,0.034197974738581,0.0740324678313177,0.0557853013999298,0.0394044902173335
"SL","RE","RE",0.0886711959024491,0.0588179975222163,0.0330423919827514,0.0777382347252229,0.052885785845362,0.0300438469497187,0.0654244716908191,0.0447363518338927,0.0271912704403256
"FE","RE-Mean","RE-Mean",0.0769327784106777,0.0544503495299611,0.0340054745921577,0.0770294464338838,0.0557993293640385,0.0351787975935871,0.0756009130142275,0.0578918202399243,0.0413849339721231
"RE-Mean","RE-Mean","RE-Mean",0.0728816294748826,0.0527276142888437,0.0332792824095296,0.0729893600708974,0.0533446865734127,0.0339352586447507,0.0725056292243391,0.0552154950043774,0.039310667166888
"RE","RE-Mean","RE-Mean",0.072859092555303,0.0527060307949941,0.0332801319783633,0.0729306733378624,0.0533128933137694,0.0339308592404913,0.0724573422707998,0.055229153824347,0.0392977783803868
"SL","RE-Mean","RE-Mean",0.0696595442057651,0.0505172878068004,0.0306776451175642,0.0670620790231896,0.0482994118366455,0.0288322514148803,0.0616868925301247,0.0429330532652406,0.0266431368370029
"FE","SL","SL",0.336160297180813,0.32421521445445,0.315911349219328,0.358195912906884,0.335169561871134,0.319209893252665,0.430975172296299,0.386253617217547,0.350556329426613
"RE-Mean","SL","SL",0.49169325690903,0.421708207206065,0.362264235349099,0.472828567942472,0.412191498227904,0.359857048879373,0.495740272019746,0.43652259222244,0.385145281439644
"RE","SL","SL",0.491915949958258,0.421877507947904,0.362344836638654,0.473080464725971,0.412358405419279,0.359945512495726,0.496089171184982,0.436707081054989,0.385292246992424
"SL","SL","SL",0.87002918341703,0.87120166016324,0.866204433554159,0.867815475350833,0.867569322475283,0.862935663748094,0.874867769028935,0.872511292873301,0.866755447564373
