"PS Model","Med","Mediator/Outcome Model","PNIE_0.05_20","PNIE_0.05_40","PNIE_0.05_100","PNIE_0.2_20","PNIE_0.2_40","PNIE_0.2_100","PNIE_0.5_20","PNIE_0.5_40","PNIE_0.5_100"
"FE","FE","FE",0.866,0.859,0.862,0.852,0.83,0.793,0.789,0.71,0.685
"RE-Mean","FE","FE",0.89,0.878,0.87,0.874,0.858,0.819,0.818,0.742,0.721
"RE","FE","FE",0.889,0.88,0.871,0.874,0.857,0.821,0.819,0.742,0.719
"SL","FE","FE",0.941,0.938,0.928,0.944,0.935,0.94,0.943,0.939,0.942
"FE","RE","RE",0.933,0.933,0.941,0.945,0.947,0.949,0.939,0.929,0.942
"RE-Mean","RE","RE",0.929,0.929,0.94,0.941,0.946,0.949,0.94,0.929,0.943
"RE","RE","RE",0.929,0.927,0.94,0.942,0.946,0.949,0.939,0.929,0.942
"SL","RE","RE",0.898,0.902,0.925,0.923,0.937,0.938,0.932,0.94,0.946
"FE","RE-Mean","RE-Mean",0.942,0.938,0.943,0.951,0.946,0.95,0.946,0.93,0.944
"RE-Mean","RE-Mean","RE-Mean",0.944,0.939,0.938,0.951,0.95,0.947,0.945,0.929,0.942
"RE","RE-Mean","RE-Mean",0.943,0.938,0.939,0.951,0.949,0.948,0.945,0.93,0.943
"SL","RE-Mean","RE-Mean",0.953,0.944,0.936,0.954,0.944,0.953,0.948,0.952,0.944
"FE","SL","SL",0.119,0.022,0,0.109,0.031,0,0.097,0.063,0.021
"RE-Mean","SL","SL",0.003,0,0,0.014,0.007,0,0.044,0.015,0.007
"RE","SL","SL",0.003,0,0,0.013,0.007,0,0.039,0.015,0.006
"SL","SL","SL",0,0,0,0,0,0,0.003,0.002,0.001
